**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 17:34:14
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 236; Ready; ; Total CPU time; 9;
Task ID; 1; Progress; 36; File; zef_import_segmentation.m; Message; Importing 4/11.; Workspace size; 0; Task time; 7; CPU usage; 130; Ready; 12-May-2026 17:34:42; Total CPU time; 18.55;
Task ID; 1; Progress; 45; File; zef_import_segmentation.m; Message; Importing 5/11.; Workspace size; 0; Task time; 14; CPU usage; 130; Ready; 12-May-2026 17:34:52; Total CPU time; 27.16;
Task ID; 1; Progress; 55; File; zef_import_segmentation.m; Message; Importing 6/11.; Workspace size; 0; Task time; 20; CPU usage; 130; Ready; 12-May-2026 17:34:59; Total CPU time; 35.57;
Task ID; 1; Progress; 64; File; zef_import_segmentation.m; Message; Importing 7/11.; Workspace size; 0; Task time; 27; CPU usage; 130; Ready; 12-May-2026 17:35:04; Total CPU time; 43.83;
Task ID; 1; Progress; 73; File; zef_import_segmentation.m; Message; Importing 8/11.; Workspace size; 0; Task time; 33; CPU usage; 129; Ready; 12-May-2026 17:35:08; Total CPU time; 52.29;
Task ID; 1; Progress; 82; File; zef_import_segmentation.m; Message; Importing 9/11.; Workspace size; 0; Task time; 40; CPU usage; 128; Ready; 12-May-2026 17:35:10; Total CPU time; 60.56;
Task ID; 1; Progress; 91; File; zef_import_segmentation.m; Message; Importing 10/11.; Workspace size; 0; Task time; 46; CPU usage; 129; Ready; 12-May-2026 17:35:13; Total CPU time; 68.9;
Task ID; 1; Progress; 100; File; zef_import_segmentation.m; Message; Importing 11/11.; Workspace size; 0; Task time; 53; CPU usage; 128; Ready; 12-May-2026 17:35:15; Total CPU time; 77.24;
Task ID; 2; Progress; 0; File; zef_import_segmentation.m; Message; Importing.; Workspace size; 0; Task time; 0; CPU usage; 152; Ready; ; Total CPU time; 95.45;
Task ID; 2; Progress; 3; File; zef_import_segmentation.m; Message; Importing 6/178.; Workspace size; 0; Task time; 7; CPU usage; 164; Ready; 12-May-2026 17:41:56; Total CPU time; 107.52;
Task ID; 2; Progress; 9; File; zef_import_segmentation.m; Message; Importing 16/178.; Workspace size; 0; Task time; 15; CPU usage; 185; Ready; 12-May-2026 17:41:11; Total CPU time; 122.51;
Task ID; 2; Progress; 11; File; zef_import_segmentation.m; Message; Importing 20/178.; Workspace size; 0; Task time; 25; CPU usage; 144; Ready; 12-May-2026 17:41:58; Total CPU time; 135.7;
Task ID; 2; Progress; 13; File; zef_import_segmentation.m; Message; Importing 24/178.; Workspace size; 0; Task time; 34; CPU usage; 145; Ready; 12-May-2026 17:42:28; Total CPU time; 148.73;
Task ID; 2; Progress; 16; File; zef_import_segmentation.m; Message; Importing 28/178.; Workspace size; 0; Task time; 43; CPU usage; 145; Ready; 12-May-2026 17:42:52; Total CPU time; 162.28;
Task ID; 2; Progress; 18; File; zef_import_segmentation.m; Message; Importing 32/178.; Workspace size; 0; Task time; 52; CPU usage; 150; Ready; 12-May-2026 17:43:09; Total CPU time; 175.89;
Task ID; 2; Progress; 20; File; zef_import_segmentation.m; Message; Importing 36/178.; Workspace size; 0; Task time; 61; CPU usage; 148; Ready; 12-May-2026 17:43:22; Total CPU time; 189.58;
Task ID; 2; Progress; 37; File; zef_import_segmentation.m; Message; Importing 66/178.; Workspace size; 0; Task time; 66; CPU usage; 340; Ready; 12-May-2026 17:41:18; Total CPU time; 206.78;
Task ID; 2; Progress; 54; File; zef_import_segmentation.m; Message; Importing 96/178.; Workspace size; 0; Task time; 72; CPU usage; 327; Ready; 12-May-2026 17:40:33; Total CPU time; 224.79;
Task ID; 2; Progress; 61; File; zef_import_segmentation.m; Message; Importing 108/178.; Workspace size; 0; Task time; 77; CPU usage; 256; Ready; 12-May-2026 17:40:27; Total CPU time; 239.16;
Task ID; 2; Progress; 62; File; zef_import_segmentation.m; Message; Importing 110/178.; Workspace size; 0; Task time; 83; CPU usage; 166; Ready; 12-May-2026 17:40:33; Total CPU time; 247.97;
Task ID; 2; Progress; 69; File; zef_import_segmentation.m; Message; Importing 122/178.; Workspace size; 0; Task time; 88; CPU usage; 227; Ready; 12-May-2026 17:40:28; Total CPU time; 260.32;
Task ID; 2; Progress; 80; File; zef_import_segmentation.m; Message; Importing 142/178.; Workspace size; 0; Task time; 93; CPU usage; 287; Ready; 12-May-2026 17:40:17; Total CPU time; 275.33;
Task ID; 2; Progress; 90; File; zef_import_segmentation.m; Message; Importing 160/178.; Workspace size; 0; Task time; 99; CPU usage; 279; Ready; 12-May-2026 17:40:09; Total CPU time; 289.88;
Task ID; 2; Progress; 99; File; zef_import_segmentation.m; Message; Importing 176/178.; Workspace size; 0; Task time; 104; CPU usage; 273; Ready; 12-May-2026 17:40:04; Total CPU time; 303.89;
