**************************************************************************
ZEFFIRO Interface 6, Date: 12-May-2026 13:25:43
**************************************************************************
Path: /Users/hsc476/Projects/MainZeffiroProject
**************************************************************************
Task ID; 1; Progress; 0; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 0; CPU usage; 462; Ready; ; Total CPU time; 19.94;
Task ID; 1; Progress; 10; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 7; CPU usage; 110; Ready; 12-May-2026 13:26:56; Total CPU time; 27.95;
Task ID; 1; Progress; 20; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 13; CPU usage; 113; Ready; 12-May-2026 13:26:55; Total CPU time; 34.7;
Task ID; 1; Progress; 30; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 19; CPU usage; 103; Ready; 12-May-2026 13:26:54; Total CPU time; 41.11;
Task ID; 1; Progress; 40; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 26; CPU usage; 108; Ready; 12-May-2026 13:26:53; Total CPU time; 47.81;
Task ID; 1; Progress; 49; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 32; CPU usage; 103; Ready; 12-May-2026 13:26:53; Total CPU time; 54.27;
Task ID; 1; Progress; 59; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 38; CPU usage; 103; Ready; 12-May-2026 13:26:53; Total CPU time; 60.77;
Task ID; 1; Progress; 69; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 45; CPU usage; 101; Ready; 12-May-2026 13:26:53; Total CPU time; 67.32;
Task ID; 1; Progress; 79; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 51; CPU usage; 103; Ready; 12-May-2026 13:26:53; Total CPU time; 74.04;
Task ID; 1; Progress; 89; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 58; CPU usage; 102; Ready; 12-May-2026 13:26:53; Total CPU time; 80.55;
Task ID; 1; Progress; 99; File; zef_bst_get_atlas_surfaces.m; Message; Atlas labels for SimNIBS atlas.; Workspace size; 0; Task time; 64; CPU usage; 102; Ready; 12-May-2026 13:26:53; Total CPU time; 86.92;
